iata_code,name,type,municipality,iso_country,latitude_deg,longitude_deg,route_count,inbound_route_count,type_score,major_score
KGR,Kulgera Airport,small_airport,Ghan,AU,-25.8428,133.292007,0,0,0.25,0.25
PEP,Peppimenarti Airport,small_airport,Peppimenarti,AU,-14.1442,130.091003,0,0,0.25,0.25
RDA,Rockhampton Downs Airport,small_airport,Rockhampton Downs,AU,-18.95330047607422,135.2010040283203,0,0,0.25,0.25
SSK,Sturt Creek Airport,small_airport,Sturt Creek,AU,-19.166400909423828,128.1739959716797,0,0,0.25,0.25
SWB,Shaw River Airport,small_airport,Shaw River,AU,-21.510299682617188,119.36199951171876,0,0,0.25,0.25
TWP,Torwood Airport,small_airport,Torwood,AU,-17.363300323486328,143.75,0,0,0.25,0.25
ZVG,Springvale Airport,small_airport,Springvale,AU,-17.7869,127.669998,0,0,0.25,0.25
BCZ,Milyakburra Airport,small_airport,Bickerton Island,AU,-13.7808333333,136.201666667,0,0,0.25,0.25
BHT,Brighton Downs Airport,small_airport,Brighton Downs,AU,-23.363333,141.562778,0,0,0.25,0.25
CBC,Cherrabun Airport,small_airport,,AU,-18.917777777800005,125.537777778,0,0,0.25,0.25
FSL,Fossil Downs Airport,small_airport,Fossil Downs Station,AU,-18.1321,125.7873,0,0,0.25,0.25
KDS,Kamaran Downs Airport,small_airport,Kamaran Downs,AU,-24.3388,139.2785,0,0,0.25,0.25
LDW,Lansdowne Airport,small_airport,Lansdowne Station,AU,-17.6128,126.743,0,0,0.25,0.25
LGE,Mulan Airport,small_airport,Lake Gregory,AU,-20.1089,127.619,0,0,0.25,0.25
LLL,Lissadell Airport,small_airport,Lissadell Station,AU,-16.661,128.594,0,0,0.25,0.25
MIZ,Mainoru Airstrip,small_airport,Mainoru,AU,-14.0533,134.0942,0,0,0.25,0.25
MRT,Moroak Airport,small_airport,Moroak,AU,-14.818133,133.700594,0,0,0.25,0.25
NRY,Newry Airport,small_airport,Newry,AU,-16.0442,129.2638,0,0,0.25,0.25
OXO,Orientos Airport,small_airport,Orientos,AU,-28.0598,141.5361,0,0,0.25,0.25
RKY,Rokeby Airport,small_airport,Rokeby,AU,-13.6434,142.641,0,0,0.25,0.25
RLP,Rosella Plains Airport,small_airport,Rosella Plains,AU,-18.4253,144.4587,0,0,0.25,0.25
RPV,Roper Valley Airport,small_airport,Roper Valley,AU,-14.9215,134.05,0,0,0.25,0.25
SRM,Sandringham Airport,small_airport,Sandringham Station,AU,-24.0568,139.0821,0,0,0.25,0.25
WHL,Welshpool Airport,small_airport,Welshpool,AU,-38.682382,146.445331,0,0,0.25,0.25
ABG,Abingdon Downs Airport,small_airport,Abingdon Downs,AU,-17.608814,143.183531,0,0,0.25,0.25
AWN,Alton Downs Airport,small_airport,,AU,-26.488959,139.259906,0,0,0.25,0.25
AUD,Augustus Downs Airport,small_airport,,AU,-18.5087,139.882084,0,0,0.25,0.25
MRP,Marla Airport,small_airport,Marla,AU,-27.334298,133.627696,0,0,0.25,0.25
AXL,Alexandria Homestead Airport,small_airport,,AU,-19.060199737548828,136.7100067138672,0,0,0.25,0.25
AXC,Aramac Airport,small_airport,,AU,-22.95788,145.249504,0,0,0.25,0.25
ADO,Andamooka Airport,small_airport,Andamooka,AU,-30.438299,137.136993,0,0,0.25,0.25
AMX,Ammaroo Airport,small_airport,,AU,-21.738300323486328,135.24200439453125,0,0,0.25,0.25
AMT,Amata Airport,small_airport,,AU,-26.097363,131.202732,0,0,0.25,0.25
WLP,West Angelas Airport,small_airport,,AU,-23.1355555556,118.707222222,0,0,0.25,0.25
AYL,Anthony Lagoon Airport,small_airport,,AU,-18.018079031,135.535068512,0,0,0.25,0.25
ABH,Alpha Airport,small_airport,Alpha,AU,-23.652849,146.582668,0,0,0.25,0.25
GYL,Argyle Airport,small_airport,,AU,-16.636944,128.451389,0,0,0.25,0.25
AAB,Arrabury Airport,small_airport,Tanbar,AU,-26.69639,141.048718,0,0,0.25,0.25
AWP,Austral Downs Airport,small_airport,,AU,-20.5,137.75,0,0,0.25,0.25
AVG,Auvergne Airport,small_airport,Auvergne Station,AU,-15.690555,130.008818,0,0,0.25,0.25
AYR,Ayr Airport,small_airport,Ayr,AU,-19.595832,147.324495,0,0,0.25,0.25
MBN,Mount Barnett Airport,small_airport,Wunaamin Miliwundi Ranges,AU,-16.741453,125.905608,0,0,0.25,0.25
